model,width_mult,param_count,macs_m,device,repeats,e2e_latency_ms,idle_vdd_gpu_soc_w_mean,idle_vdd_gpu_soc_w_stdev,load_vdd_gpu_soc_w_mean,load_vdd_gpu_soc_w_stdev,delta_vdd_gpu_soc_w_mean,delta_vdd_gpu_soc_w_stdev,idle_vdd_cpu_cv_w_mean,idle_vdd_cpu_cv_w_stdev,load_vdd_cpu_cv_w_mean,load_vdd_cpu_cv_w_stdev,delta_vdd_cpu_cv_w_mean,delta_vdd_cpu_cv_w_stdev,idle_compute_rails_w_mean,idle_compute_rails_w_stdev,load_compute_rails_w_mean,load_compute_rails_w_stdev,delta_compute_rails_w_mean,delta_compute_rails_w_stdev,load_vin_sys_5v0_w_mean,load_vin_sys_5v0_w_stdev,load_gr3d_freq_percent_mean,load_gr3d_freq_percent_stdev,throughput_qps_mean,throughput_qps_stdev,trtexec_latency_ms_mean,trtexec_latency_ms_stdev,load_energy_mj_per_inference_mean,load_energy_mj_per_inference_stdev,dynamic_energy_mj_per_inference_mean,dynamic_energy_mj_per_inference_stdev,qps_per_load_watt_mean,qps_per_load_watt_stdev,qps_per_dynamic_watt_mean,qps_per_dynamic_watt_stdev,e2e_load_energy_proxy_mj_mean,e2e_load_energy_proxy_mj_stdev,e2e_dynamic_energy_proxy_mj_mean,e2e_dynamic_energy_proxy_mj_stdev
w0_25,0.25,66499,16.515,gpu,3,0.14153086114180477,5.168976191,0.000932227,8.79520202,0.041535555,3.62622583,0.040722913,2.464440476,0.035942207,3.83930303,0.161980262,1.374862554,0.132813882,7.633416667,0.036874067,12.63450505,0.203415628,5.001088384,0.172850202,5.588540404,0.047976263,86.247474747,0.717793869,14621.666666667,137.123460186,0.0656235,0.000664863,0.864175199,0.018321075,0.342070142,0.012914425,1157.522279333,24.730569715,2926.219573368,112.937194236,1.78817238,0.028789589,0.707808346,0.024463638
w0_25,0.25,66499,16.515,dla0,3,0.2065068664211173,5.16852381,0.000907265,6.760030303,0.00056122,1.591506493,0.00104426,2.469190476,0.014250239,4.545904041,0.162049843,2.076713564,0.149429013,7.637714286,0.01428433,11.305934343,0.162562205,3.668220058,0.149491434,5.558232323,0.020637979,5,0.026243194,10885.566666667,78.149685433,0.0893815,0.000815198,1.038597299,0.010363011,0.336939359,0.011946279,962.900991641,9.606820363,2970.429742846,107.321014797,2.334753073,0.033570212,0.757512629,0.030871008
w0_5,0.5,103715,17.105,gpu,3,0.14261777544505833,5.169238095,0.000693752,8.741959596,0.003481597,3.572721501,0.004146966,2.478738095,0.045733273,3.869479798,0.149845735,1.390741703,0.105365039,7.64797619,0.046316201,12.611439394,0.148258794,4.963463203,0.103625821,5.607247475,0.048145118,86.707070707,0.315039802,14578.7,124.921215172,0.065820467,0.000480434,0.86513796,0.015874733,0.340498644,0.009006357,1156.146144729,21.347694677,2938.259658749,78.850041453,1.798615432,0.02114434,0.70787808,0.014778884
w0_5,0.5,103715,17.105,dla0,3,0.20574113333333335,5.169880952,0.000206197,6.760969697,0.000052486,1.591088745,0.00015371,2.469285714,0.06513804,4.459520202,0.164036112,1.990234488,0.135942202,7.639166667,0.06529405,11.220489899,0.164087306,3.581323232,0.135816998,5.580464647,0.035445156,4.96969697,0.015151515,10683.266666667,78.804145407,0.0912787,0.000723614,1.050258295,0.0093899,0.335177447,0.010243653,952.197691841,8.550426026,2985.347350693,90.963445506,2.308516308,0.033759509,0.736825501,0.027943143
w1_0,1,279779,24.773,gpu,3,0.14775105303867403,5.168690476,0.000904449,9.138691919,0.004338584,3.970001443,0.004296496,2.48347619,0.028428601,3.883530303,0.151466515,1.400054113,0.12733304,7.652166666,0.029114161,13.022222222,0.155726204,5.370055555,0.131449757,5.609353535,0.043738937,86.580808081,0.432371611,14169.533333333,110.966406328,0.0678801,0.000472368,0.919059295,0.012302065,0.379000239,0.009688391,1088.198819717,14.539431967,2639.67651361,67.824339439,1.924047046,0.023008711,0.793431363,0.01942184
w1_0,1,279779,24.773,dla0,3,0.20385146273787597,5.168309524,0.000288675,6.76800505,0.013734615,1.599695527,0.014002024,2.478583333,0.032672937,4.541853536,0.080059238,2.063270202,0.047388155,7.646892857,0.032635295,11.309858586,0.087843946,3.662965729,0.05580411,5.714292929,0.036196079,4.98989899,0.008747731,10662.133333333,56.203321373,0.091438333,0.000671143,1.060793569,0.013208637,0.343569588,0.006713971,942.788600715,11.820008005,2911.368059784,57.535129908,2.305531216,0.017907117,0.746700922,0.011375749
w2_0,2,992451,86.115,gpu,3,0.15339498919582567,5.168761905,0.000770414,11.141136364,0.02524754,5.972374459,0.025591728,2.516630952,0.059204531,3.79710101,0.131613242,1.280470058,0.120596741,7.685392857,0.059970943,14.938237374,0.150889912,7.252844516,0.145091836,5.603843434,0.047410179,87.984848485,0.224221948,13199.366666667,40.219439744,0.073184967,0.000226941,1.131723082,0.008058565,0.549465978,0.00935857,883.63829734,6.302218415,1820.297782929,30.726266954,2.29145076,0.023145756,1.112550006,0.02225636
w2_0,2,992451,86.115,dla0,3,0.22718632510742784,5.168404762,0.000430551,7.154318182,0.007874139,1.98591342,0.007523282,2.544964286,0.110362107,4.959439394,0.176998195,2.414475108,0.097037124,7.713369047,0.110786741,12.113757576,0.184622094,4.400388528,0.104251871,6.222156566,0.05745935,4.97979798,0.034990926,10269.933333333,64.371758818,0.094983067,0.000526179,1.179505463,0.012703497,0.428441749,0.007488844,847.878416572,9.118617581,2334.518452423,41.096103379,2.752080067,0.041943616,0.999708098,0.023684599
w4_0,4,3919267,302.286,gpu,3,0.18907638084714548,5.168261905,0.000288675,15.756085859,0.232894844,10.587823954,0.232852107,2.506833334,0.050437997,3.724974747,0.033228562,1.218141414,0.017232329,7.675095238,0.050568519,19.481060606,0.20620114,11.805965368,0.246727382,6.609136363,0.242304181,91.949494949,0.043738657,9023.163333333,215.052059124,0.108499333,0.002604172,2.160151773,0.072640989,1.309266105,0.055863383,463.282099431,15.68895599,764.730842875,33.198014922,3.683408434,0.038987765,2.232229204,0.046650321
w4_0,4,3919267,302.286,dla0,3,0.30295104027010433,5.168642857,0.001113461,7.554247475,0.00319594,2.385604618,0.003162678,2.469273809,0.051270147,5.469474747,0.128782687,3.000200938,0.142292263,7.637916666,0.051549044,13.023722222,0.128691238,5.385805556,0.142148542,7.063424242,0.04934734,2.984848485,0.015151515,6026.013333333,3.726047951,0.163745667,0.000109715,2.161256711,0.022282423,0.893768303,0.024083637,462.726731151,4.79661371,1119.407285197,30.566415706,3.945550195,0.038987144,1.631635396,0.043064048
